Generating synthetic count valued data ... 
Generating synthetic  count valued data took:  1.1985652446746826
max_count =  42  min count =  0
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
2.7311644512 2.6367067001 1.7348148148 1.6766666667    3857.8      15475.78  
Factorizing with max_iteration = 16000  fixing covariance?:  False
Tensor dimensions:  [15, 15, 15]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  False
Random start? True
k1 samples =  64  k2 samples =  128
eta =  1.0  cov eta =  1.0  sigma eta =  1
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|   d_mean  |   d_cov  |avg_grad_m|avg_grad_c| test_nll | train_nll |    VLB   |  E-term  |    KL     |   dw   |
    0         7.47      9.8945     6.8104     9.9296     6.8607     3.1623     0.4025     1.853    14298.9395  3822.02    15377.01   -18509.0  -18451.354   57.193     0.0008  
    5        65.23      9.8116     6.7807     9.7836     6.7789     3.1623     1.3115    35.3497   395855.8492  3793.11    14849.18   -17932.0  -17892.107   39.508      0.0    
    10       124.33     9.1509     6.2341     9.0335     6.1619     3.1623    11.2882    146.7491  2199946.4184  3348.54    13075.67   -15413.0  -15380.882   32.403      0.0    
    20       222.0      6.5479     4.6652     6.4008     4.5707     3.1623    11.2882    392.4652  65577322.5921   2320.4    9032.41    -9323.0   -9279.019    43.875      0.0    
    50       480.89     4.7195     3.317      4.3414     2.9748     2.9615     4.3358    95.6586   48750790.8869  1729.19    6392.84    -6791.0    -6748.87    42.072      0.0    
   100       911.62     3.5026     2.3689     3.1583     2.0341     1.1215     4.1036    28.4839   384358.0975  1407.59    5215.89    -5669.0   -5631.249    38.213      0.0    
   200      1733.39     3.3289     2.2193     2.9087     1.8574     0.9597     0.0325    21.3847   6829.3005   1349.76    5006.93    -5467.0   -5429.885    37.473      0.0    
   300      2557.19     3.2902      2.2       2.7568     1.7504     1.0352     0.0199    22.3676    83.8225    1348.95     4920.6    -5364.0   -5329.716    34.744      0.0    
   400      3377.69     3.3515     2.2222     2.6571     1.6948     0.4663     0.0243    13.5146    134.6033    1351.5    4856.83    -5319.0   -5285.883    32.859      0.0    
   500      4203.18     3.2265     2.1259     2.6625     1.6881     0.6783     0.0389    18.6699   49446.4786  1332.86    4863.49    -5324.0   -5293.399    30.64       0.0    
   600      5021.11     3.2958     2.2104     2.6226     1.6926     0.7191     0.0899    20.0524    222.9554   1341.75    4866.67    -5346.0   -5316.487    29.162      0.0    
   700       5842.2     3.2032     2.1156     2.5959     1.6552     0.7888     0.0528     21.305   4402.5368   1332.95    4862.81    -5306.0   -5276.841    28.729      0.0    
   800      6657.54     3.2081      2.12      2.5527     1.6267     0.4281     0.0532    12.0899   15709.1996  1325.64    4825.73    -5296.0   -5268.287    27.996      0.0    
   900       7472.0     3.2352     2.1407     2.5433     1.6185     0.5984     0.0175    15.4129    111.6508   1336.59    4838.18    -5301.0   -5273.989    27.088      0.0    
   1000      8289.9     3.187      2.1185     2.5335     1.6096     0.4865     0.0492    13.9647   31466.8796  1333.01    4828.93    -5291.0   -5263.655    26.92       0.0    
   1100     9111.62     3.1951     2.1319     2.523      1.6219     0.5154     0.1554    17.1975    308.5032   1333.47    4846.65    -5315.0   -5288.919    26.349      0.0    
   1200     9923.78     3.2288     2.1585     2.5234     1.5911     0.5048     0.1586     16.788   7930.5163   1335.51    4841.66    -5285.0   -5258.643    26.444      0.0    
   1300     10732.38    3.2254     2.1244     2.5158     1.6004     0.4714     0.0724    15.4182    562.1834   1335.59    4833.86    -5298.0    -5271.18    26.901      0.0    
   1400     11540.9     3.2074     2.1185     2.5107     1.5896     0.5414     0.0601    18.5424    438.7107   1329.07    4840.21    -5297.0   -5271.045    26.279      0.0    
   1500     12345.85    3.1907     2.0948     2.4898     1.573      0.3646     0.0766    13.6577    138.4503   1333.35    4827.33    -5295.0   -5268.628    26.799      0.0    
   1600     13142.76    3.2221     2.1333     2.482      1.573      0.2849     0.051     13.6401    192.7482    1337.1    4834.07    -5295.0   -5268.488    26.455      0.0    
   1700     13938.18    3.2007     2.1319     2.4819     1.5607     0.3171     0.0359    10.8756    323.2647   1333.67    4828.45    -5286.0   -5260.102    26.355      0.0    
   1800     14726.58    3.2286     2.1363     2.4799     1.573      0.4015     0.0284    12.7371    86.1639    1335.14    4838.18    -5306.0   -5280.051    26.405      0.0    
   1900     15517.26    3.2109     2.1141     2.4672      1.55      0.3585     0.2038    11.3744    577.4825   1335.51    4846.01    -5304.0   -5278.062    26.164      0.0    
   2000     16307.66    3.187      2.1067     2.5136     1.593      0.3454     0.1087    12.5123    100.5856   1332.31    4854.08    -5310.0   -5283.888    25.988      0.0    
   2100     17095.71    3.2173     2.1407     2.5123     1.5715     0.2753     0.0985    11.4222    241.8297   1333.71    4859.28    -5314.0   -5288.199    25.399      0.0    
   2200     17884.81    3.2712     2.1733     2.5072      1.59      0.3416     0.1124    11.9246   6133.0439   1338.64    4850.49    -5317.0   -5291.709    24.901      0.0    
   2300     18674.94    3.2157     2.1096     2.5021     1.563      0.3155     0.2191    11.1646   34774.0962  1335.55     4851.2    -5310.0   -5284.553    24.995      0.0    
   2400     19462.41    3.197      2.1081     2.488      1.5641     0.3492     0.0339    11.2811    111.6161   1335.14    4853.24    -5305.0   -5280.596    24.734      0.0    
   2500     20250.57    3.1742     2.1081     2.4607     1.5581     0.2704     0.0799    12.1009    129.5757   1331.72    4850.04    -5299.0   -5273.934    24.571      0.0    
   2600     21039.29     3.28      2.1748     2.4952     1.5785     0.3425     0.0494    13.6118    198.3075   1338.76    4854.98    -5326.0   -5301.934    24.512      0.0    
   2700     21826.11    3.2162     2.1422     2.4783     1.5744     0.3006     0.7978    11.5997    247.388    1331.76    4849.95    -5313.0   -5288.235    24.72       0.0    
   2800     22613.87    3.2092     2.1096     2.4598     1.5496     0.3328     0.0428    11.3619    155.4351   1334.67     4854.8    -5322.0   -5297.867    24.42       0.0    
   2900     23401.65    3.2701     2.157      2.5061     1.597      0.4426     0.251      15.226   4068.4165   1338.88    4858.91    -5331.0   -5306.864    24.58       0.0    
   3000     24190.64    3.2097     2.1037     2.4817     1.5574     0.3908     0.3395    15.4118    329.2217   1334.93    4857.54    -5307.0   -5282.725    24.185      0.0    
   3100     24995.86    3.2295     2.1333     2.4871     1.5715     0.2991     1.0342    12.0423   1137745.962   1336.7    4848.54    -5320.0   -5296.204    23.731      0.0    
   3200     25794.79    3.1686     2.0815     2.4836     1.5585     0.2572     0.0628    11.7236   2095.0754   1331.38    4851.74    -5305.0   -5281.137    23.982      0.0    
   3300     26608.31    3.1951     2.1081     2.4708      1.55      0.288      0.024     11.6118    252.0147   1330.71    4844.87    -5305.0   -5281.271    23.874      0.0    
   3400     27426.62    3.1975     2.0874     2.4797     1.563      0.2658     0.1469    10.7367   1413.9957   1333.49    4846.34    -5311.0    -5286.55    24.058      0.0    
   3500     28242.73    3.2065     2.0889     2.4718      1.58      0.3242     0.0258    11.5653    121.0039   1336.61    4851.98    -5317.0   -5293.152    23.86       0.0    
   3600     29052.21    3.2092     2.1363     2.5055     1.5685     0.3992     0.1362    12.4903   2088.2711    1334.1    4856.64    -5314.0   -5290.754    23.56       0.0    
   3700     29858.99    3.2457     2.1141     2.4717     1.5574     0.3774     0.0609    13.7429    98.7756    1344.37    4868.01    -5338.0   -5315.012    23.27       0.0    
   3800     30675.41    3.2519     2.1719     2.4844     1.567      0.2694     0.251      12.098   12546.306   1332.68    4873.97    -5336.0   -5312.948    23.175      0.0    
   3900     31476.68    3.2667     2.1644     2.5019     1.5796     0.231      0.0331    11.1982    208.1371   1342.72    4865.26    -5324.0   -5300.628    23.02       0.0    
   4000     32287.93    3.2258     2.1067     2.4964     1.5674     0.2484     0.2003    11.9817    533.151    1332.73     4860.9    -5318.0   -5295.352    22.992      0.0    
   4100     33117.82    3.2533     2.1333     2.4605     1.5459     0.2128     0.1172    12.1529   1279.3064   1339.65    4865.93    -5313.0   -5290.531    22.795      0.0    
   4200     33911.56    3.1898     2.1007     2.4871     1.5796     0.2009     0.1223     10.366   19102.5261  1335.19    4874.48    -5326.0   -5303.321    22.674      0.0    
   4300     34710.22    3.2635     2.1141     2.4822     1.567      0.3217     0.3056    12.7515    240.5727   1341.87    4885.19    -5328.0   -5304.949    23.08       0.0    
   4400     35518.34    3.3079     2.1719     2.4781     1.5648     0.2702     0.379     11.9895   53572.445    1337.6    4873.44    -5338.0   -5315.445    22.74       0.0    
